iter	Passed	Remaining
400	12230	18269
401	12259	18236
402	12289	18205
403	12315	18168
404	12343	18134
405	12369	18096
406	12397	18063
407	12425	18029
408	12450	17990
409	12479	17958
410	12508	17925
411	12535	17891
412	12564	17858
413	12593	17825
414	12620	17790
415	12645	17752
416	12671	17715
417	12697	17679
418	12725	17645
419	12753	17611
420	12778	17574
421	12805	17539
422	12897	17592
423	12965	17613
424	13001	17590
425	13038	17568
426	13070	17539
427	13102	17510
428	13135	17483
429	13185	17478
430	13225	17459
431	13258	17432
432	13290	17403
433	13321	17372
434	13352	17342
435	13382	17311
436	13413	17280
437	13443	17249
438	13475	17220
439	13507	17191
440	13540	17162
441	13574	17137
442	13605	17107
443	13637	17077
444	13667	17046
445	13699	17016
446	13730	16985
447	13758	16952
448	13789	16922
449	13821	16893
450	13850	16859
451	13876	16823
452	13905	16790
453	13934	16758
454	13962	16724
455	13988	16687
456	14017	16655
457	14045	16620
458	14073	16587
459	14103	16556
460	14133	16524
461	14160	16490
462	14190	16458
463	14228	16436
464	14255	16401
465	14282	16366
466	14310	16333
467	14339	16300
468	14367	16266
469	14395	16232
470	14421	16197
471	14451	16166
472	14480	16133
473	14508	16100
474	14535	16065
475	14563	16032
476	14592	15999
477	14626	15973
478	14658	15944
479	14691	15915
480	14726	15889
481	14761	15863
482	14795	15837
483	14833	15813
484	14864	15783
485	14896	15754
486	14926	15723
487	14955	15691
488	14982	15656
489	15012	15624
490	15042	15594
491	15076	15566
492	15104	15533
493	15132	15500
494	15161	15468
495	15189	15434
496	15233	15417
497	15262	15384
498	15292	15353
499	15321	15321
500	15350	15288
501	15376	15253
502	15404	15220
503	15432	15187
504	15460	15154
505	15489	15122
506	15516	15087
507	15546	15057
508	15575	15024
509	15606	14994
510	15634	14961
511	15661	14927
512	15688	14893
513	15717	14861
514	15745	14828
515	15773	14795
516	15801	14762
517	15830	14730
518	15856	14695
519	15880	14659
520	15907	14624
521	15935	14591
522	15963	14559
523	15989	14525
524	16018	14492
525	16044	14458
526	16070	14424
527	16099	14391
528	16123	14355
529	16152	14323
530	16208	14316
531	16268	14311
532	16340	14316
533	16419	14328
534	16464	14310
535	16504	14287
536	16546	14266
537	16587	14244
538	16620	14215
539	16674	14204
540	16783	14239
541	16819	14212
