iter	RMSE
197	179.3488449
198	179.2043309
199	179.0220584
200	178.788576
201	178.6582112
202	178.3863505
203	178.024082
204	177.8732612
205	177.5771123
206	177.1374805
207	176.940365
208	176.7982811
209	176.3360707
210	175.9920573
211	175.1058078
212	174.930997
213	174.5796312
214	174.4121532
215	174.3330256
216	174.1654068
217	173.8906102
218	173.7092329
219	173.5556383
220	173.0435837
221	172.8152433
222	172.7540687
223	172.514124
224	172.2063365
225	172.0431336
226	171.5962919
227	171.2395472
228	171.1541584
229	170.8035056
230	170.6801966
231	170.4276824
232	170.1301917
233	169.8037391
234	169.6491348
235	169.3867703
236	169.3080772
237	169.0285156
238	168.8326002
239	168.5234042
240	168.2436205
241	168.239253
242	168.158014
243	167.9343268
244	167.7738336
245	167.6883853
246	167.4231474
247	167.1676335
248	166.9339668
249	166.9081576
250	166.7931448
251	166.4593058
252	166.0499289
253	165.9286056
254	165.7613062
255	165.4470856
256	165.2658998
257	165.0911921
258	165.0255999
259	164.8113874
260	164.7368998
261	164.6617982
262	164.4441913
263	164.1735488
264	164.0747426
265	164.0016215
266	163.7895367
267	163.7097468
268	163.4172292
269	163.1462482
270	162.7303209
271	162.7192158
272	162.5509515
273	162.3372082
274	162.2466256
275	162.0965794
276	161.8699908
277	161.7070873
278	161.5319028
279	161.2104134
280	160.9499813
281	160.560178
282	160.3513802
283	160.1514193
284	159.9448049
285	159.7615196
286	159.5514593
287	159.3728763
288	159.151082
289	158.9000432
290	158.8126531
291	158.5246062
292	158.3573549
293	158.1286919
294	158.0665367
295	157.8061848
296	157.6428917
297	157.510305
298	157.2824939
299	157.098526
300	156.8804466
301	156.7675837
302	156.6568654
303	156.3455093
304	156.2417114
305	156.1609717
306	155.9692085
307	155.8057013
308	155.583547
309	155.5627855
310	155.5125576
311	155.1514572
312	154.7659428
313	154.6661127
314	154.5431415
315	154.343107
316	154.0597795
317	153.8490543
318	153.8072943
319	153.5183811
320	153.3235132
321	153.306894
322	153.2374074
323	153.0026009
324	152.934055
325	152.8453668
326	152.8297456
327	152.6737345
328	152.4313766
329	152.4169951
330	152.2376362
331	152.0823846
332	151.8712524
333	151.6269932
334	151.4399564
335	151.2605975
336	150.8566439
337	150.6056851
338	150.4240443
339	150.3064211
340	150.2103794
341	149.8850803
342	149.5981741
343	149.5414959
344	149.4146593
345	149.2522599
346	148.9487628
347	148.8090828
348	148.5548117
349	148.4756686
350	148.2118432
351	147.9749098
352	147.7479773
353	147.5763442
354	147.5311785
355	147.3242031
356	147.1612569
357	147.0090381
358	146.8984173
359	146.6601987
360	146.6129797
361	146.4828517
362	146.3095896
363	146.1571723
364	146.0817138
365	146.0113701
366	145.9750033
367	145.9038277
368	145.8576363
369	145.6762758
370	145.5896406
371	145.5158929
372	145.4478909
373	145.3412721
374	145.3155679
375	145.1847717
376	145.1040733
377	144.9901343
378	144.8551475
379	144.7962795
380	144.7403486
381	144.4881191
382	144.2992994
383	144.1485556
384	144.0404527
385	143.7805317
386	143.5948187
387	143.4309134
388	143.1749315
389	143.1147154
390	143.0291282
391	142.8925483
392	142.7630241
393	142.5908894
394	142.4931037
395	142.3724987
396	142.2414045
397	142.164215
398	142.0395239
399	141.7521417
400	141.5970763
401	141.4686169
402	141.3746216
403	141.2389952
404	141.1125143
405	140.9685751
406	140.8334114
407	140.7256057
408	140.649165
409	140.5473391
410	140.4838088
411	140.3922133
412	140.1297981
413	140.0795189
414	139.8845469
415	139.7309406
416	139.6777294
417	139.6593442
418	139.5305477
419	139.447506
420	139.3797291
421	139.3544211
422	139.2981096
423	139.0008444
424	138.8251951
425	138.582389
426	138.4779821
427	138.4177396
428	138.3536238
429	138.3200044
430	138.1792929
431	138.0403381
432	137.9454223
433	137.9263189
434	137.792394
435	137.6749219
436	137.5124016
437	137.3950914
438	137.2878799
439	136.949362
440	136.8666349
441	136.7648601
442	136.7078635
443	136.5710002
444	136.4438888
445	136.2562856
446	136.0554694
447	135.8943774
448	135.7881796
449	135.7068923
450	135.5591789
451	135.4134833
452	135.2670894
453	135.2102564
454	135.1867896
455	134.997149
456	134.9461123
457	134.8735556
458	134.7525524
459	134.6035376
460	134.4494523
461	134.2928631
462	134.2087641
463	134.0314184
464	133.9203964
465	133.8363035
466	133.6332721
467	133.4999526
468	133.364288
469	133.2692294
470	133.1889526
471	133.0958473
472	133.0652092
473	132.8591686
474	132.6618031
475	132.6333094
476	132.5526806
477	132.4793356
478	132.4053435
479	132.2436688
480	132.0966219
481	132.0275947
482	131.9172418
483	131.7744494
484	131.7492724
485	131.7022187
486	131.616571
487	131.5613905
488	131.3960262
489	131.2859903
490	131.1761244
491	130.977745
492	130.9377091
493	130.9015435
494	130.7919842
495	130.6137389
496	130.5623494
497	130.3477001
498	130.308819
499	130.1880959
500	130.0584556
501	129.9781232
502	129.953585
503	129.9469632
504	129.8127927
505	129.7667001
506	129.6713562
507	129.6062769
508	129.4861274
509	129.3602822
510	129.3421317
511	129.2728576
512	129.076901
513	129.0287566
514	128.9296399
515	128.7910317
516	128.7130351
517	128.6150572
518	128.5173883
519	128.4266987
520	128.3661985
521	128.2848544
522	128.2107621
523	128.0757434
524	128.0286782
525	127.998284
526	127.962399
527	127.8898874
528	127.8669094
529	127.7227627
530	127.6305768
531	127.5876134
532	127.5341794
533	127.4332065
534	127.2906959
535	127.2045296
536	127.1679472
537	127.0947855
538	127.0668772
539	126.9794741
540	126.8735768
541	126.8426822
542	126.7611705
543	126.7340018
544	126.6173952
545	126.5832873
546	126.5658753
547	126.4884733
548	126.4571025
549	126.3907373
550	126.2732584
551	126.2039701
552	126.178573
553	126.155169
554	126.0622014
555	126.0371211
556	126.0076581
557	125.9457551
558	125.7942072
559	125.740929
560	125.7128879
561	125.6530591
562	125.5029483
563	125.3528722
564	125.3089952
565	125.2154313
566	125.1856305
567	125.1591531
568	125.1184757
569	125.0794993
570	125.027836
571	125.0061628
572	124.8226261
573	124.7478301
574	124.4595791
575	124.4284269
576	124.3580213
577	124.257569
578	124.2510843
579	124.1865257
580	124.0816583
581	124.0743101
582	124.0355304
583	123.8229328
584	123.7265144
585	123.6146792
586	123.5539992
587	123.4585712
588	123.4035359
589	123.3842889
590	123.2954982
591	123.272731
592	123.2310321
593	123.2112938
594	123.1175953
595	123.0623758
596	122.9885407
597	122.8584029
598	122.8263567
599	122.7196278
600	122.6772214
601	122.6000504
602	122.4691407
603	122.308372
604	122.2670506
605	122.2643527
606	122.1874683
607	122.1513894
608	121.9944039
609	121.8738582
610	121.8696053
611	121.7603234
612	121.630727
613	121.5487229
614	121.4966131
615	121.3186807
616	121.2161405
617	121.0934778
618	121.0361013
619	120.9628981
620	120.9400304
621	120.8780812
622	120.8345886
623	120.7828157
624	120.7285333
625	120.5824283
626	120.5115532
627	120.4813133
628	120.4478285
629	120.3645957
630	120.3418018
631	120.2839273
632	120.2342589
633	120.1936497
634	120.0470413
635	120.0405002
636	119.9423099
637	119.8302985
638	119.7791465
639	119.6390516
640	119.4888778
641	119.4714552
642	119.4064372
643	119.3106952
644	119.2785114
645	119.1762063
646	119.1219527
647	119.0583348
648	118.971604
649	118.8013806
650	118.74522
651	118.6712905
652	118.632458
653	118.573249
654	118.5165895
655	118.4615756
656	118.4353512
657	118.404382
658	118.4009911
659	118.3054606
660	118.2413726
661	118.1662416
662	118.1140965
663	118.0538523
664	118.0280415
665	117.9361574
666	117.8070028
667	117.7364791
668	117.548782
669	117.4791847
670	117.435228
671	117.3703335
672	117.3669565
673	117.3503965
674	117.2324174
675	117.1738864
676	117.0673321
677	117.0347466
678	116.9016073
679	116.8768895
680	116.8028654
681	116.7150839
682	116.5243642
683	116.4580737
684	116.3694839
685	116.2545861
686	116.2158071
687	115.9795302
688	115.9495148
689	115.9365058
690	115.8369213
691	115.8019175
692	115.7254526
693	115.6886709
694	115.635827
695	115.5642765
696	115.4830443
697	115.3590302
698	115.283776
699	115.1379314
700	115.0391793
701	114.984933
702	114.8949719
703	114.8525362
704	114.8116919
705	114.7663857
706	114.7382561
707	114.6318629
708	114.6132159
709	114.5102464
710	114.4991917
711	114.4674459
712	114.4320329
713	114.3783891
714	114.3526675
715	114.3286765
716	114.2605092
717	114.1369693
718	114.0810212
719	114.0472362
720	113.9794634
721	113.9534165
722	113.9387338
723	113.8869046
724	113.8726259
725	113.7829583
726	113.7188146
727	113.6048263
728	113.5039828
729	113.4625409
730	113.3443729
731	113.3263958
732	113.2709155
733	113.1773198
734	113.1058386
735	113.0183292
736	112.9457768
737	112.8824254
738	112.7762752
739	112.7553944
740	112.6392295
741	112.5696022
742	112.4725703
743	112.4076026
744	112.394917
745	112.3300312
746	112.3010414
747	112.2793087
748	112.1806341
749	112.0817566
750	112.0377006
751	111.9930406
752	111.9484014
753	111.8994903
754	111.858443
755	111.7757139
756	111.7012159
757	111.6573726
758	111.5666944
759	111.5381474
760	111.5229423
761	111.4190145
762	111.2385284
763	111.1366602
764	111.109463
765	111.0363115
766	110.8805777
767	110.8499208
768	110.7761784
769	110.7405607
770	110.6860054
771	110.6380653
772	110.5814899
773	110.5587192
774	110.5037718
775	110.4449099
776	110.4191726
777	110.3721499
778	110.268882
779	110.2431781
780	110.1994008
781	110.1505057
782	110.0929278
783	109.9470117
784	109.922001
785	109.8932526
786	109.8014167
787	109.7353053
788	109.6990925
789	109.6590974
790	109.6246187
791	109.5020854
792	109.4509606
793	109.4033326
794	109.3295161
795	109.2695908
796	109.2487862
797	109.098694
798	109.019981
799	108.9732633
800	108.9513516
801	108.8875276
802	108.7760608
803	108.7282869
804	108.6967363
805	108.6603475
806	108.6392367
807	108.5776309
808	108.4636301
809	108.4216444
810	108.3743655
811	108.3554319
812	108.3322792
813	108.240183
814	108.2019121
815	108.1273995
816	108.1135354
817	108.0183598
818	107.940697
819	107.907828
820	107.8944355
821	107.794814
822	107.7742494
823	107.7096483
824	107.6673838
825	107.6038265
826	107.58221
827	107.5336027
828	107.5045684
829	107.4038751
830	107.2588867
831	107.2413073
832	107.2068692
833	107.1499207
834	107.132838
835	107.072572
836	107.0309841
837	106.9987876
838	106.9684744
839	106.9054002
840	106.7458749
841	106.70601
842	106.6807544
843	106.6219921
844	106.5605312
845	106.3596199
846	106.3476759
847	106.327634
848	106.2061664
849	106.1967356
850	106.1699205
851	105.9841196
852	105.9167512
853	105.8504223
854	105.823756
855	105.7602182
856	105.7153209
857	105.6867557
858	105.6565938
859	105.5571872
860	105.534392
861	105.5053275
862	105.4110701
863	105.3780788
864	105.2703529
865	105.1542558
866	105.1167713
867	104.9619684
868	104.8727569
869	104.8575336
870	104.8243236
871	104.8150053
872	104.7661758
873	104.7031236
874	104.5561854
875	104.5382897
876	104.5051796
877	104.35496
878	104.3195432
879	104.2380955
880	104.2122001
881	104.1523154
882	104.1131301
883	104.0364793
884	104.0264911
885	104.0080872
886	103.9526549
887	103.9340399
888	103.8460757
889	103.8081175
890	103.7930274
891	103.7642555
892	103.7076958
893	103.6876793
894	103.6128475
895	103.5085128
896	103.4876942
897	103.4620791
898	103.4433169
899	103.370783
900	103.3514258
901	103.3371252
902	103.3200293
903	103.2128265
904	103.1729327
905	103.1532732
906	103.1214
907	103.1158625
908	103.0453339
909	103.0049629
910	102.857776
911	102.8312414
912	102.7624512
913	102.6913967
914	102.6654013
915	102.6000709
916	102.5391921
917	102.4923596
918	102.4540028
919	102.3887247
920	102.3024285
921	102.2883851
922	102.2566391
923	102.2370592
924	102.1777566
925	102.1436402
926	102.1170621
927	102.0935133
928	102.0408229
929	102.0118603
930	101.8632611
931	101.7251777
932	101.652503
933	101.6235145
934	101.5603691
935	101.5283656
936	101.4514485
937	101.4379277
938	101.3749188
939	101.2167513
940	101.1767406
941	101.129746
942	101.0870403
943	101.065764
944	100.9603576
945	100.9251087
946	100.8007042
947	100.6412224
948	100.5937601
949	100.5091055
950	100.4655865
951	100.4523266
952	100.3683477
953	100.2962671
954	100.2702062
955	100.225563
956	100.1967307
957	100.1634411
958	100.1118922
959	100.0980759
960	100.0684182
961	99.94370896
962	99.8570174
963	99.78773617
964	99.77550162
965	99.75314776
966	99.71625484
967	99.68477874
968	99.56231095
969	99.51942149
970	99.3980696
971	99.28770079
972	99.24202541
973	99.22256647
974	99.17023368
975	99.08627747
976	99.06901264
977	98.98024518
978	98.97053379
979	98.95048633
980	98.86701399
981	98.85597127
982	98.8389242
983	98.80400781
984	98.77524857
985	98.69773827
986	98.64613224
987	98.49713021
988	98.4071096
989	98.3354065
990	98.28413958
991	98.24920107
992	98.23100302
993	98.1980499
994	98.14897485
995	98.10873746
996	98.0348523
997	97.97389194
998	97.93103659
999	97.86900055
